"Time (EpMin)","Strand Name","Range (km)"
1435,"Satellite/GEO2 To Satellite/GEO3",73030
1440,"Satellite/GEO2 To Satellite/GEO3",73030
0,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39948
5,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39948
10,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39948
15,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
20,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
25,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
30,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
35,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
40,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
45,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
50,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
55,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
60,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
65,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
70,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
75,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
80,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
85,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
90,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
95,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
100,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
105,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
110,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
115,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
120,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
125,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
130,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
135,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
140,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
145,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
150,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
155,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
160,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
165,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
170,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
175,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
180,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
185,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
190,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
195,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
200,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
205,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
210,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
215,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
220,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
225,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
230,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
235,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
240,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
245,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
250,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
255,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
260,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
265,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
270,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
275,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
280,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
285,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
290,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
295,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
300,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
305,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
310,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
315,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
320,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
